"original canceled date","resurrected canceled date","original created date","resurrected created date","original end date","resurrected end date","original next charge date","resurrected next charge date","original plan","resurrected plan","days to resurrection",student_id,"original subscription ID","resurrected subscription ID"
"2021-09-25 00:00:00","2021-10-30 00:00:00","2021-08-26 06:40:50","2021-09-29 05:59:56","2021-09-26 00:00:00","2021-10-29 00:00:00","2021-09-26 00:00:00","2021-10-29 00:00:00",monthly,monthly,3,165801,5571,5571
NULL,NULL,"2021-01-28 23:46:06","2021-10-01 03:10:22","2021-04-25 00:00:00","2022-09-05 00:00:00","2021-04-16 03:00:00","2022-09-01 00:00:00",annually,monthly,159,5554,5597,5597
NULL,NULL,"2021-01-30 02:26:09","2021-10-03 21:13:15","2021-04-01 00:00:00","2022-07-07 00:00:00","2021-03-28 00:00:00","2022-07-03 00:00:00",monthly,monthly,185,143454,5607,5607
NULL,NULL,"2021-08-20 05:18:53","2021-10-04 17:23:45","2021-09-25 00:00:00","2021-11-08 00:00:00","2021-09-20 00:00:00","2021-11-04 00:00:00",annually,monthly,9,160122,5614,5614
"2021-07-17 00:00:00","2021-10-17 00:00:00","2021-07-08 16:55:39","2021-10-11 12:30:01","2021-08-08 00:00:00","2021-11-11 00:00:00","2021-08-08 00:00:00","2021-11-11 00:00:00",monthly,monthly,64,159207,5657,5657
NULL,NULL,"2021-01-28 23:46:06","2021-10-12 10:38:10","2021-05-10 00:00:00","2021-12-16 00:00:00","2021-05-01 03:00:00","2021-12-12 00:00:00",annually,monthly,155,2167,5680,5680
NULL,NULL,"2021-01-28 23:44:53","2021-10-13 06:26:33","2021-10-11 00:00:00","2022-10-22 00:00:00","2021-10-02 03:00:00","2022-10-13 00:00:00",annually,annually,2,3857,5686,5686
"2021-07-03 00:00:00","2021-11-16 00:00:00","2021-06-10 15:58:14","2021-10-15 01:34:00","2021-07-10 00:00:00","2021-12-15 00:00:00","2021-07-10 00:00:00","2021-12-15 00:00:00",monthly,monthly,97,157202,5702,5702
NULL,NULL,"2021-08-05 09:55:10","2021-10-15 09:58:05","2021-10-09 00:00:00","2022-01-19 00:00:00","2021-10-05 00:00:00","2022-01-15 00:00:00",annually,annually,6,162207,5706,5706
NULL,"2021-11-25 00:00:00","2021-01-28 23:46:34","2021-10-15 12:07:34","2021-10-13 00:00:00","2021-12-15 00:00:00","2021-10-09 00:00:00","2021-12-15 00:00:00",monthly,monthly,2,6656,5708,5708
NULL,"2022-05-27 00:00:00","2021-04-10 18:02:41","2021-10-26 07:54:47","2021-07-20 00:00:00","2022-11-26 00:00:00","2021-07-10 00:00:00","2022-11-26 00:00:00",monthly,annually,98,3272,5734,5734
"2021-03-18 00:00:00","2022-09-07 00:00:00","2021-03-18 15:39:22","2021-11-01 22:52:29","2021-03-22 00:00:00","2022-11-01 00:00:00","2022-03-18 00:00:00","2022-11-01 00:00:00",annually,annually,224,147116,5745,5745
